Date;Time;Altitude;X;Y
03.09.2019;17:00:53;1329.78;2563838;1158878
03.09.2019;18:00:45;1334.59;2563804;1158844
03.09.2019;19:00:34;1339.80;2563800;1158842
03.09.2019;20:00:28;1334.45;2563798;1158862
03.09.2019;21:00:48;1329.71;2563801;1158829
03.09.2019;22:00:13;1340.78;2563814;1158829
03.09.2019;23:00:46;1356.02;2563805;1158848
04.09.2019;00:00:23;1360.61;2563810;1158843
04.09.2019;01:00:20;1349.33;2563812;1158837
04.09.2019;02:00:22;1402.10;2563789;1158811
04.09.2019;03:00:51;1343.28;2563774;1158783
04.09.2019;04:00:28;1362.75;2563770;1158780
04.09.2019;05:00:26;1384.03;2563777;1158813
04.09.2019;11:00:28;1377.59;2563788;1158799
04.09.2019;17:00:20;1373.10;2563806;1158786
04.09.2019;18:00:21;1404.86;2563798;1158776
04.09.2019;19:00:16;1333.87;2563793;1158793
04.09.2019;20:00:22;1366.70;2563788;1158761
04.09.2019;21:00:19;1362.30;2563781;1158777
04.09.2019;22:00:22;1372.96;2563789;1158780
04.09.2019;23:00:42;1369.09;2563796;1158770
05.09.2019;00:00:19;1359.34;2563801;1158763
05.09.2019;01:00:22;1350.09;2563775;1158764
05.09.2019;02:00:21;1330.51;2563782;1158753
05.09.2019;03:00:30;1284.02;2563780;1158776
05.09.2019;04:00:34;1351.38;2563820;1158774
05.09.2019;05:00:22;1330.70;2563603;1158692
05.09.2019;11:00:52;1321.92;2563600;1158693
05.09.2019;17:00:42;1342.23;2563604;1158695
05.09.2019;18:00:22;1344.31;2563593;1158704
05.09.2019;19:00:20;1352.57;2563593;1158693
05.09.2019;20:00:20;1309.40;2563597;1158715
05.09.2019;21:00:23;1194.95;2563339;1158657
05.09.2019;22:02:04;1215.55;2562975;1158937
05.09.2019;23:00:18;996.68;2562841;1159481
06.09.2019;00:00:34;969.16;2563106;1160058
06.09.2019;01:00:19;923.25;2563074;1160514
06.09.2019;02:00:18;1065.75;2563454;1160291
06.09.2019;03:00:15;963.40;2563466;1160303
06.09.2019;04:00:15;1013.79;2563456;1160309
06.09.2019;05:00:19;1043.13;2563444;1160272
06.09.2019;11:00:17;1000.95;2563461;1160287
06.09.2019;17:02:07;986.63;2563457;1160296
06.09.2019;18:00:13;1027.96;2563443;1160294
06.09.2019;19:00:20;1006.47;2563607;1160531
06.09.2019;20:00:19;909.98;2563063;1160534
06.09.2019;21:00:37;864.62;2562282;1160977
06.09.2019;22:00:21;873.70;2562437;1161217
06.09.2019;23:00:24;887.84;2562441;1161202
07.09.2019;00:00:23;808.53;2562433;1161239
07.09.2019;01:00:40;857.76;2562456;1161254
07.09.2019;02:00:20;868.63;2562435;1161190
07.09.2019;03:00:24;774.58;2562454;1161225
07.09.2019;04:00:38;919.85;2563067;1160518
07.09.2019;05:00:25;992.71;2563505;1160319
07.09.2019;11:00:51;995.65;2563513;1160295
07.09.2019;17:00:29;1031.45;2563439;1160275
07.09.2019;18:00:25;976.18;2563422;1160282
07.09.2019;19:00:22;938.52;2563025;1160498
07.09.2019;20:00:26;854.83;2561918;1160146
07.09.2019;21:00:18;841.18;2561887;1160163
07.09.2019;22:00:19;872.72;2562220;1160884
07.09.2019;23:00:24;836.73;2562825;1161064
08.09.2019;00:00:26;934.61;2563085;1160534
08.09.2019;01:00:26;902.39;2563682;1161019
08.09.2019;02:00:29;1030.73;2564017;1160901
08.09.2019;03:00:39;982.28;2564034;1160891
08.09.2019;04:00:22;984.59;2564029;1160886
08.09.2019;05:00:27;1033.83;2564028;1160933
08.09.2019;11:00:16;963.39;2564047;1160885
08.09.2019;17:00:38;986.81;2564036;1160895
08.09.2019;18:00:21;1022.83;2564212;1161057
08.09.2019;19:00:34;851.08;2564326;1162492
08.09.2019;20:00:23;854.98;2564459;1162473
08.09.2019;21:00:23;873.18;2564332;1162446
08.09.2019;22:00:26;845.82;2564300;1162487
08.09.2019;23:00:36;867.00;2564285;1162476
09.09.2019;00:00:20;847.54;2564324;1162470
09.09.2019;01:00:16;821.11;2564220;1161919
09.09.2019;02:00:22;989.59;2564494;1161201
09.09.2019;03:00:21;1005.66;2564507;1161175
09.09.2019;04:00:22;911.92;2564276;1160996
09.09.2019;05:00:39;1044.27;2564344;1161001
09.09.2019;11:00:40;1025.51;2564339;1161004
09.09.2019;17:00:49;1011.42;2564329;1160987
09.09.2019;18:00:40;1024.58;2564318;1160985
09.09.2019;19:00:27;868.51;2563683;1162099
09.09.2019;20:00:21;846.51;2564342;1162483
09.09.2019;21:00:33;863.93;2564318;1162464
09.09.2019;22:00:25;862.09;2564344;1162414
09.09.2019;23:00:23;873.50;2564375;1162480
10.09.2019;00:00:38;828.33;2564341;1162438
10.09.2019;01:00:32;889.51;2563893;1161505
10.09.2019;02:00:38;1003.97;2564037;1160897
10.09.2019;03:00:47;1001.66;2564030;1160885
10.09.2019;04:00:32;1020.18;2564019;1160869
10.09.2019;05:00:14;1009.32;2564037;1160883
10.09.2019;11:00:32;1028.08;2564250;1161019
10.09.2019;17:00:17;1062.00;2564244;1161033
10.09.2019;18:00:17;983.74;2564265;1161011
10.09.2019;19:00:26;1009.07;2564312;1161548
10.09.2019;20:00:24;900.51;2564371;1162498
10.09.2019;21:00:28;846.27;2564460;1162520
10.09.2019;22:00:20;868.91;2564322;1162482
10.09.2019;23:00:22;853.20;2564408;1162525
11.09.2019;00:00:23;853.33;2563695;1162072
11.09.2019;01:00:22;944.87;2563939;1161156
